country,country_isocode,year,pop,xrat,currency_unit,ppp,tcgdp,cgdp,cgdp2,cda2,cc,cg,ci,p,p2,pc,pg,pi,openc,cgnp,y,y2,rgdpl,rgdpl2,rgdpch,kc,kg,ki,openk,rgdpeqa,rgdpwok,rgdpl2wok,rgdpl2pe,rgdpl2te,rgdpl2th,rgdptt,serialid
Pakistan,PAK,1993,127563,28.107183333,Pakistan Rupee,9.1618561511,207607.82999,1627.492533,1642.7596796,1678.4242711,71.3302207,9.5192913756,21.321504901,32.596137587,32.42343218,33.298852821,28.528069807,32.07486451,28.901472846,100.74716382,6.4135495905,6.4737136772,1954.3510618,1966.0485333,1954.0753154,75.713508485,10.632838257,21.673832418,35.29613944,2502.1859884,6903.9153775,6946.2177811,,7966.8058784,,2066.6272691,7785
Pakistan,PAK,1994,130746,30.566591667,Pakistan Rupee,10.111539086,224878.77496,1719.9667673,1739.6311873,1776.5922006,71.926720982,9.6524314528,20.545494077,33.080361712,32.901163579,34.107093096,27.675894288,32.045356351,29.555650322,100.25546024,6.456631938,6.5304507608,2010.7235657,2021.3539645,2010.0748171,76.847199868,10.634270279,21.337138726,33.888992063,2574.884621,7036.9865883,7076.4732824,,8192.3107703,,2142.8643518,7786
Pakistan,PAK,1995,134185,31.642683333,Pakistan Rupee,10.710389564,241635.06788,1800.7606504,1816.1433364,1881.4713796,72.992926062,9.6788118578,20.925337369,33.847918179,33.663601221,34.581115657,30.358492413,32.92208646,31.297249324,100.75260381,6.5306912613,6.5864785602,2052.9103257,2063.2205533,2052.1162226,78.5583291,10.839444482,21.549846418,35.350708992,2629.7522192,7322.8248161,7362.4497983,,8547.4915081,,2199.4193834,7787
Pakistan,PAK,1996,137911,36.078683333,Pakistan Rupee,11.943373528,248529.08176,1802.0975974,1816.3533197,1884.1572871,75.439022442,8.8674312009,19.426518719,33.103684572,32.910022284,33.531945806,30.439180588,32.669669546,30.047835508,99.663423692,6.2542581472,6.3037332517,2026.7814176,2037.4112798,2025.8281588,80.493391735,9.7903131601,20.427834703,33.189526858,2587.7544446,7109.469746,7150.1197133,,8470.9504677,,2164.0612734,7788
Pakistan,PAK,1997,141445,41.111525,Pakistan Rupee,13.187718938,225078.65188,1591.2803696,1606.3467537,1666.1615541,75.507029454,9.4272637236,18.789361145,32.077912308,31.92071954,32.463627689,27.744357646,32.730909599,30.047832511,99.203150172,5.2583090201,5.3080951577,1800.3022756,1807.142107,1799.2021008,79.170513325,9.8593800765,19.604051381,32.445495323,2295.0538545,6201.8212969,6229.1903734,,7261.6822536,,1886.2554255,7789
Pakistan,PAK,1998,144885,45.046666667,Pakistan Rupee,13.646706221,238478.9375,1645.9877662,1666.8792231,1679.7372412,73.13740565,9.493119241,18.140857814,30.294597205,30.145748573,30.632580924,24.784005076,31.825604374,27.897845782,99.090099699,5.2222334467,5.2885158744,1810.717731,1816.323084,1809.6498821,78.094125063,10.222190528,19.605650644,29.710106529,2304.3489886,6193.2148793,6216.052763,,7110.4558235,,1939.318993,7790
Pakistan,PAK,1999,148379,49.500691583,Pakistan Rupee,14.430534951,247948.53497,1671.0486994,1693.7429779,1714.7263481,76.275660023,8.7286455946,16.234570084,29.152188565,28.952767491,29.582109649,23.811879911,30.018316797,26.459196821,99.130575055,5.0594543205,5.1281660614,1836.8552827,1838.6247182,1836.4382285,80.650759663,9.1580960473,17.137103062,27.320523927,2333.4800387,6197.9734556,6205.3528517,,7207.7489315,,1940.6615082,7791
Pakistan,PAK,2000,152429,53.6481865,Pakistan Rupee,14.81788285,258209.01939,1693.9625622,1717.0579599,1738.3560206,75.01292625,9.1079952752,17.119459478,27.620472967,27.39344854,28.101399479,23.354533749,27.79338211,28.129607322,98.746586286,4.8950188851,4.9617573186,1858.5409787,1860.1460881,1858.2174646,77.9369809,9.4733832279,17.331552387,27.483142862,2355.2583785,6169.3771099,6175.7802386,,7591.437967,,1923.1102313,7792
Pakistan,PAK,2001,156795,61.927161667,Pakistan Rupee,15.810717845,266266.84768,1698.1845574,1723.384117,1741.4198471,75.085648399,8.4668264845,17.494055014,25.531152114,25.300274578,26.22392719,20.906082476,24.804818434,30.371555416,98.705851697,4.8047027589,4.8760003062,1835.9685742,1841.9419839,1835.9693801,77.061383864,8.7978598783,17.786544181,28.752172314,2320.3808416,6063.8197232,6083.5459741,,7598.1924062,,1883.3826503,7793
Pakistan,PAK,2002,160269,59.723781667,Pakistan Rupee,15.912006897,279829.81837,1746.0009008,1772.1150735,1773.7067113,73.552630691,9.4930203278,17.044164697,26.642664703,26.419512644,27.432905789,21.816397099,25.921420404,30.537629917,100.53148078,4.8236258183,4.8957706824,1854.1890573,1854.3503456,1853.8648227,75.807630858,9.8033535865,17.187092297,29.541249889,2335.4644877,6076.7623424,6078.3538323,,7729.3855797,,1904.3802203,7794
